epoch,train_cls_loss,train_pred_loss,train_repr_loss,train_total_loss,clean_val_auc,clean_val_accuracy,clean_val_precision,clean_val_recall,clean_val_f1,robust_val_auc,head_learning_rate
1,0.015798078261036425,0.016522872229426867,0.04440246335864067,0.03516013019680977,0.994016,0.944,0.9172932330827067,0.976,0.9457364341085271,,0.0003
2,0.00907533540353179,0.006704690364305862,0.03725488676950336,0.021741402322798968,0.99488,0.946,0.9144981412639405,0.984,0.9479768786127167,,0.0003
3,0.005664892107527703,0.004247580124239903,0.03600465374812484,0.01678984556533396,0.9945280000000001,0.954,0.9283018867924528,0.984,0.9553398058252427,,0.0003
4,0.005450520763918758,0.0058113640717434465,0.03214509519040584,0.016392476675659417,0.993504,0.942,0.9138576779026217,0.976,0.9439071566731141,,0.0003
5,0.006247500209184364,0.0030269676193100167,0.03100455576181412,0.015512122911214829,0.993776,0.946,0.9114391143911439,0.988,0.9481765834932822,,0.0003
