epoch,train_loss,train_accuracy,val_loss,clean_val_auc,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.27815230824947357,0.882,0.13423234713077545,0.992496,0.958,0.935361216730038,0.984,0.9590643274853801,0.001
2,0.05320080546140671,0.9864,0.11463257798552513,0.994112,0.962,0.9391634980988594,0.988,0.9629629629629629,0.001
3,0.018206074538640676,0.9988,0.11118410190939904,0.99392,0.96,0.9389312977099237,0.984,0.9609375,0.001
4,0.00891441309452057,1.0,0.11260657777637244,0.99448,0.96,0.9356060606060606,0.988,0.9610894941634242,0.001
5,0.0053489409083034845,0.9996,0.11246233810484409,0.994352,0.956,0.9318181818181818,0.984,0.9571984435797666,0.001
